firstname,lastname,address,town,postcode,dob
John,Smith,10 King Road,Basildon,SS14 1HX,09-21-1967
Abigail,Walker,Worcester House,Enfield,EN2 8BW,04-03-1988
Mary,Rose,28 Mile End Way,Greenford,UB6 8JN,08-15-1991
Peter,Davidson,Flat 22 Sherbourne Court,Liverpool,L36 8FG,02-28-1976
Conan,O'Hare,6 Milton Close,Camborne,TR14 8PA,12-01-1980
Ava,Savchenko,81b South Side Street,Shipley,BD18 1QN,05-07-1990
Bill,Johnson,54 Dead Duck Passage,Southam,CV47 8NH,07-12-1982
Simon,Nguyen,Large Cottage,Herne Bay,CT6 7UL,03-25-1985
Frances,Lloyd,79 McCartney Road,Liverpool,L25 5NH,10-18-1972
Gina,Campbell,3 Manchester Place,Liverpool,L15 8AE,09-09-1953
